Tag_Name,Text,Attributes,Description
a,978-0-679-74363-7,"{'href': '/wiki/Special:BookSources/978-0-679-74363-7', 'title': 'Special:BookSources/978-0-679-74363-7'}",HTML <a> tag from page about Nepal
bdi,978-0-679-74363-7,{},HTML <bdi> tag from page about Nepal
span,,"{'title': 'ctx_ver=Z39.88-2004&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&rft.genre=book&rft.btitle=So+Close+to+Heaven%3A+The+Vanishing+Buddhist+Kingdoms+of+the+Himalayas&rft.place=New+York&rft.pub=Vintage&rft.date=1995&rft.isbn=978-0-679-74363-7&rft.aulast=Crossette&rft.aufirst=Barbara&rfr_id=info%3Asid%2Fen.wikipedia.org%3ANepal', 'class': ['Z3988']}",HTML <span> tag from page about Nepal
li,"Dor Bahadur Bista (1967).People of Nepal. Department of Publicity, Ministry of Information and Broadcasting, Government of Nepal.ISBN978-99933-0-418-0.",{},HTML <li> tag from page about Nepal
link,,"{'rel': ['mw-deduplicated-inline-style'], 'href': 'mw-data:TemplateStyles:r1238218222'}",HTML <link> tag from page about Nepal
cite,"Dor Bahadur Bista (1967).People of Nepal. Department of Publicity, Ministry of Information and Broadcasting, Government of Nepal.ISBN978-99933-0-418-0.","{'id': 'CITEREFDor_Bahadur_Bista1967', 'class': ['citation', 'book', 'cs1']}",HTML <cite> tag from page about Nepal
i,People of Nepal,{},HTML <i> tag from page about Nepal
a,ISBN,"{'href': '/wiki/ISBN_(identifier)', 'class': ['mw-redirect'], 'title': 'ISBN (identifier)'}",HTML <a> tag from page about Nepal
a,978-99933-0-418-0,"{'href': '/wiki/Special:BookSources/978-99933-0-418-0', 'title': 'Special:BookSources/978-99933-0-418-0'}",HTML <a> tag from page about Nepal
bdi,978-99933-0-418-0,{},HTML <bdi> tag from page about Nepal
span,,"{'title': 'ctx_ver=Z39.88-2004&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&rft.genre=book&rft.btitle=People+of+Nepal&rft.pub=Department+of+Publicity%2C+Ministry+of+Information+and+Broadcasting%2C+Government+of+Nepal&rft.date=1967&rft.isbn=978-99933-0-418-0&rft.au=Dor+Bahadur+Bista&rfr_id=info%3Asid%2Fen.wikipedia.org%3ANepal', 'class': ['Z3988']}",HTML <span> tag from page about Nepal
li,"Murphy, Dervla (1968).The Waiting Land: A Spell in Nepal. Transatlantic Arts.ISBN978-0-7195-1745-7.",{},HTML <li> tag from page about Nepal
link,,"{'rel': ['mw-deduplicated-inline-style'], 'href': 'mw-data:TemplateStyles:r1238218222'}",HTML <link> tag from page about Nepal
